名字:飞屋环游记    分数:9.0    制片国家:美国    上映日期:2009-08-04    导演:彼特·道格特 / 鲍勃·彼德森    编剧:彼特·道格特 / 鲍勃·彼德森 / 汤姆·麦卡锡    主演:爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井 / 鲍勃·彼德森 / 德尔罗伊·林多 / 更多...    类型:/剧情/喜剧/动画/冒险    评论数::1034877    五星比例:59.0%    四星比例:33.9%    三星比例:6.7%    二星比例:0.3%    一星比例:0.1%    
名字:少年派的奇幻漂流    分数:9.1    制片国家:美国 / 中国台湾 / 英国 / 加拿大    上映日期:2012-11-22    导演:李安    编剧:扬·马特尔 / 大卫·麦基    主演:苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波 / 阿迪勒·侯赛因 / 塔布 / 更多...    类型:/剧情/奇幻/冒险    评论数::1095743    五星比例:61.0%    四星比例:31.8%    三星比例:6.5%    二星比例:0.5%    一星比例:0.2%    
名字:哈利·波特与魔法石    分数:9.1    制片国家:美国 / 英国    上映日期:2002-01-26    导演:克里斯·哥伦布    编剧:史蒂夫·克洛夫斯 / J·K·罗琳    主演:丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 艾伦·瑞克曼 / 玛吉·史密斯 / 更多...    类型:/奇幻/冒险    评论数::802507    五星比例:61.6%    四星比例:31.4%    三星比例:6.6%    二星比例:0.4%    一星比例:0.1%    
名字:素媛    分数:9.3    制片国家:韩国    上映日期:2013-10-02    导演:李濬益    编剧:金智慧 / 赵重勋 / 金成旭    主演:薛景求 / 严志媛 / 李来 / 金海淑 / 金相浩 / 更多...    类型:/剧情    评论数::500297    五星比例:67.9%    四星比例:27.8%    三星比例:3.9%    二星比例:0.2%    一星比例:0.1%    
名字:十二怒汉    分数:9.4    制片国家:美国    上映日期:1957-04-13    导演:西德尼·吕美特    编剧:雷金纳德·罗斯    主演:亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒 / 李·科布 / E.G.马绍尔 / 更多...    类型:/剧情    评论数::356056    五星比例:74.8%    四星比例:21.6%    三星比例:3.2%    二星比例:0.2%    一星比例:0.1%    
名字:哈尔的移动城堡    分数:9.1    制片国家:日本    上映日期:2004-09-05    导演:宫崎骏    编剧:宫崎骏 / 黛安娜·温恩·琼斯    主演:倍赏千惠子 / 木村拓哉 / 美轮明宏 / 我修院达也 / 神木隆之介 / 更多...    类型:/动画/奇幻/冒险    评论数::764046    五星比例:61.7%    四星比例:31.1%    三星比例:6.7%    二星比例:0.4%    一星比例:0.1%    
名字:鬼子来了    分数:9.3    制片国家:中国大陆    上映日期:2000-05-12    导演:姜文    编剧:姜文 / 史建全 / 述平 / 尤凤伟    主演:姜文 / 香川照之 / 袁丁 / 姜宏波 / 丛志军 / 更多...    类型:/剧情/喜剧    评论数::478643    五星比例:69.0%    四星比例:25.6%    三星比例:4.8%    二星比例:0.4%    一星比例:0.2%    
名字:天空之城    分数:9.1    制片国家:日本    上映日期:1992-05-01    导演:宫崎骏    编剧:宫崎骏    主演:田中真弓 / 横泽启子 / 初井言荣 / 寺田农 / 常田富士男 / 更多...    类型:/动画/奇幻/冒险    评论数::652609    五星比例:62.7%    四星比例:31.2%    三星比例:5.7%    二星比例:0.3%    一星比例:0.1%    
名字:大话西游之月光宝盒    分数:9.0    制片国家:中国香港 / 中国大陆    上映日期:1995-01-21    导演:刘镇伟    编剧:刘镇伟 / 吴承恩    主演:周星驰 / 吴孟达 / 罗家英 / 蓝洁瑛 / 莫文蔚 / 更多...    类型:/喜剧/爱情/奇幻/古装    评论数::944704    五星比例:59.1%    四星比例:32.5%    三星比例:7.6%    二星比例:0.5%    一星比例:0.2%    
名字:我不是药神    分数:9.0    制片国家:中国大陆    上映日期:2018-07-05    导演:文牧野    编剧:韩家女 / 钟伟 / 文牧野    主演:徐峥 / 王传君 / 周一围 / 谭卓 / 章宇 / 更多...    类型:/剧情/喜剧    评论数::1624743    五星比例:57.8%    四星比例:34.6%    三星比例:6.8%    二星比例:0.5%    一星比例:0.2%    
